===============================================================================
 [ 종합 RMSE 비교 요약: 거리별 (m) ]
===============================================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
       4 | 1.3456           | 5.0012           | 3.3242           | 12.6185          | 12.6798          | 16.7695
       5 | 1.3465           | 5.0056           | 3.3725           | 12.7728          | 12.8341          | 17.0609
       6 | 1.3484           | 5.0053           | 3.3441           | 12.7647          | 12.8255          | 17.0645
       7 | 1.3537           | 5.0173           | 3.3699           | 12.8235          | 12.8861          | 17.2398
       8 | 1.3475           | 5.0026           | 3.3820           | 12.9365          | 12.9993          | 17.1625
       9 | 1.3529           | 5.0029           | 3.3560           | 12.8767          | 12.9381          | 17.1228
      10 | 1.3490           | 5.0142           | 3.3209           | 12.7753          | 12.8366          | 16.9486
      11 | 1.3482           | 5.0089           | 3.3787           | 12.9607          | 13.0235          | 17.1924
      12 | 1.3467           | 5.0031           | 3.3742           | 13.0178          | 13.0797          | 17.1429
      13 | 1.3464           | 5.0025           | 3.3383           | 12.9596          | 13.0207          | 16.8544
      14 | 1.3517           | 5.0065           | 3.3499           | 13.0150          | 13.0753          | 16.9218
      15 | 1.3444           | 5.0001           | 3.3075           | 12.8818          | 12.9424          | 16.8494
      16 | 1.3453           | 5.0008           | 3.3421           | 13.1544          | 13.2153          | 17.1467
      17 | 1.3548           | 5.0065           | 3.3468           | 13.0813          | 13.1417          | 16.9857
      18 | 1.3482           | 5.0050           | 3.3759           | 13.2179          | 13.2800          | 17.1368
      19 | 1.3465           | 5.0040           | 3.3689           | 13.2918          | 13.3539          | 17.1505
      20 | 1.3487           | 5.0041           | 3.3512           | 13.2615          | 13.3240          | 17.0561
      21 | 1.3482           | 5.0068           | 3.3568           | 13.4096          | 13.4711          | 17.2052
      22 | 1.3423           | 4.9982           | 3.3295           | 13.2427          | 13.3031          | 16.9335
      23 | 1.3436           | 5.0033           | 3.3394           | 13.4407          | 13.5025          | 17.0044
      24 | 1.3519           | 5.0046           | 3.3665           | 13.6017          | 13.6628          | 17.1767
      25 | 1.3523           | 5.0027           | 3.3463           | 13.5967          | 13.6581          | 17.2392
      26 | 1.3489           | 5.0019           | 3.3543           | 13.7381          | 13.7989          | 17.2965
      27 | 1.3463           | 5.0104           | 3.3473           | 13.7188          | 13.7770          | 17.2010
      28 | 1.3489           | 5.0020           | 3.3794           | 13.8156          | 13.8767          | 17.2868
      29 | 1.3494           | 5.0000           | 3.3740           | 13.9095          | 13.9723          | 17.2882
      30 | 1.3545           | 5.0089           | 3.3651           | 13.9712          | 14.0328          | 17.2422
      31 | 1.3547           | 5.0063           | 3.4091           | 14.0513          | 14.1141          | 17.3966
      32 | 1.3552           | 5.0089           | 3.3763           | 14.1072          | 14.1696          | 17.1579
      33 | 1.3523           | 5.0169           | 3.3378           | 14.1618          | 14.2219          | 17.2048
      34 | 1.3491           | 5.0073           | 3.3374           | 14.0263          | 14.0851          | 17.0209
      35 | 1.3511           | 5.0041           | 3.3418           | 14.2137          | 14.2728          | 17.1946
      36 | 1.3533           | 5.0010           | 3.3378           | 14.2957          | 14.3581          | 17.0709
      37 | 1.3487           | 5.0078           | 3.3525           | 14.4757          | 14.5370          | 17.2287
      38 | 1.3502           | 5.0014           | 3.3375           | 14.4220          | 14.4824          | 17.1110
      39 | 1.3497           | 5.0044           | 3.3737           | 14.5616          | 14.6247          | 17.1639
      40 | 1.3489           | 5.0022           | 3.3527           | 14.7210          | 14.7831          | 17.1568
      41 | 1.3518           | 5.0063           | 3.3719           | 14.8301          | 14.8964          | 17.3187
      42 | 1.3464           | 5.0010           | 3.3421           | 14.7701          | 14.8289          | 17.0295
      43 | 1.3539           | 5.0046           | 3.3719           | 14.9866          | 15.0496          | 17.2717
      44 | 1.3446           | 5.0039           | 3.3496           | 14.9434          | 15.0035          | 17.1680
      45 | 1.3441           | 5.0001           | 3.3521           | 15.0655          | 15.1273          | 17.1410
      46 | 1.3578           | 5.0160           | 3.3679           | 15.2743          | 15.3362          | 17.2250
      47 | 1.3482           | 5.0074           | 3.3644           | 15.3905          | 15.4520          | 17.2701
      48 | 1.3474           | 5.0031           | 3.3842           | 15.5213          | 15.5828          | 17.5315
      49 | 1.3453           | 5.0050           | 3.3746           | 15.4737          | 15.5368          | 17.3042
      50 | 1.3573           | 5.0161           | 3.3801           | 15.6221          | 15.6868          | 17.3806
      51 | 1.3531           | 5.0103           | 3.3507           | 15.7580          | 15.8189          | 17.3330
      52 | 1.3556           | 5.0079           | 3.3618           | 15.7805          | 15.8428          | 17.3920
      53 | 1.3563           | 5.0161           | 3.3708           | 15.9204          | 15.9803          | 17.3877
      54 | 1.3533           | 5.0085           | 3.3730           | 16.0350          | 16.0968          | 17.5178
      55 | 1.3504           | 4.9958           | 3.4077           | 16.1420          | 16.2054          | 17.4870
      56 | 1.3525           | 5.0061           | 3.3449           | 16.0851          | 16.1478          | 17.2530
      57 | 1.3551           | 4.9976           | 3.3856           | 16.3920          | 16.4556          | 17.5219
      58 | 1.3536           | 5.0075           | 3.3425           | 16.3354          | 16.3991          | 17.4202
      59 | 1.3591           | 5.0150           | 3.3699           | 16.5087          | 16.5685          | 17.4577
      60 | 1.3489           | 5.0031           | 3.3620           | 16.5931          | 16.6540          | 17.5372
      61 | 1.3586           | 5.0145           | 3.3647           | 16.7751          | 16.8385          | 17.6358
      62 | 1.3499           | 5.0013           | 3.3648           | 16.7619          | 16.8230          | 17.4677
      63 | 1.3518           | 5.0116           | 3.3451           | 16.8496          | 16.9129          | 17.3958
      64 | 1.3600           | 5.0125           | 3.3706           | 17.0750          | 17.1364          | 17.6711
      65 | 1.3559           | 5.0087           | 3.3945           | 17.0591          | 17.1213          | 17.4136
      66 | 1.3572           | 5.0054           | 3.3758           | 17.1798          | 17.2417          | 17.5034
      67 | 1.3509           | 5.0018           | 3.3821           | 17.2372          | 17.3021          | 17.4658
      68 | 1.3623           | 5.0101           | 3.3833           | 17.5477          | 17.6127          | 17.6414
      69 | 1.3575           | 5.0150           | 3.3969           | 17.6501          | 17.7158          | 17.6213
      70 | 1.3506           | 5.0146           | 3.3433           | 17.5619          | 17.6249          | 17.5025
      71 | 1.3572           | 5.0090           | 3.3772           | 17.8271          | 17.8922          | 17.5781
      72 | 1.3543           | 5.0014           | 3.3878           | 17.8824          | 17.9460          | 17.5897
      73 | 1.3604           | 5.0101           | 3.3782           | 17.9460          | 18.0107          | 17.6964
      74 | 1.3514           | 5.0029           | 3.3737           | 18.1301          | 18.1933          | 17.7397
      75 | 1.3545           | 5.0027           | 3.3574           | 18.2103          | 18.2739          | 17.5209
      76 | 1.3573           | 5.0084           | 3.3850           | 18.1991          | 18.2641          | 17.5893
      77 | 1.3549           | 5.0095           | 3.3861           | 18.3484          | 18.4125          | 17.7032
      78 | 1.3553           | 5.0034           | 3.3881           | 18.7389          | 18.8051          | 17.8548
      79 | 1.3561           | 4.9968           | 3.3909           | 18.6492          | 18.7131          | 17.6698
      80 | 1.3593           | 5.0119           | 3.3950           | 18.8334          | 18.8967          | 17.8429
      81 | 1.3512           | 5.0015           | 3.3571           | 18.8659          | 18.9292          | 17.6619
      82 | 1.3578           | 5.0052           | 3.3502           | 19.0828          | 19.1490          | 17.5816
      83 | 1.3555           | 5.0048           | 3.3970           | 19.1501          | 19.2160          | 17.7654
      84 | 1.3576           | 5.0089           | 3.3944           | 19.3806          | 19.4462          | 17.8633
      85 | 1.3557           | 5.0019           | 3.3538           | 19.2645          | 19.3310          | 17.7182
      86 | 1.3626           | 5.0177           | 3.3853           | 19.6418          | 19.7066          | 17.8873
      87 | 1.3633           | 5.0109           | 3.4245           | 19.8115          | 19.8793          | 18.0816
      88 | 1.3623           | 5.0123           | 3.3882           | 19.8383          | 19.9050          | 18.0520
      89 | 1.3559           | 5.0044           | 3.3876           | 19.7586          | 19.8256          | 17.9790
      90 | 1.3612           | 5.0047           | 3.3995           | 20.0559          | 20.1230          | 17.9252
      91 | 1.3621           | 5.0107           | 3.3793           | 20.0876          | 20.1532          | 17.8979
      92 | 1.3563           | 5.0013           | 3.3676           | 20.1741          | 20.2407          | 17.9455
      93 | 1.3576           | 5.0162           | 3.3849           | 20.3273          | 20.3931          | 17.8194
      94 | 1.3587           | 5.0119           | 3.3763           | 20.4194          | 20.4889          | 18.0508
      95 | 1.3631           | 4.9978           | 3.4228           | 20.8118          | 20.8792          | 18.3264
      96 | 1.3551           | 4.9998           | 3.3614           | 20.5331          | 20.6011          | 17.9067
      97 | 1.3659           | 5.0166           | 3.4164           | 20.8575          | 20.9244          | 18.2505
      98 | 1.3638           | 5.0098           | 3.3768           | 21.1070          | 21.1737          | 18.1662
      99 | 1.3584           | 5.0003           | 3.4090           | 20.8733          | 20.9417          | 17.9287
     100 | 1.3582           | 5.0049           | 3.3871           | 21.1301          | 21.1988          | 18.0711


===============================================================================
 [ 종합 RMSE 비교 요약: DOA 검증별 (deg) ]
===============================================================================
DOA(deg)   | Prop             | LSTM             | MLP              | KF               | 1D-CNN
-------------------------------------------------------------------------------------------------------------------------------------------------
     0.0 | 0.3782           | 3.2866           | 12.7593          | 12.8181          | 17.0028
     0.1 | 0.4725           | 3.2810           | 12.7747          | 12.8362          | 17.0049
     0.2 | 0.6704           | 3.2778           | 12.7757          | 12.8357          | 17.1607
     0.3 | 0.8895           | 3.3265           | 12.7586          | 12.8193          | 17.0276
     0.4 | 1.1171           | 3.3686           | 12.8858          | 12.9475          | 17.2667
     0.5 | 1.3454           | 3.3663           | 12.8159          | 12.8770          | 17.1994
     0.6 | 1.5847           | 3.3960           | 12.8415          | 12.9019          | 17.1039
     0.7 | 1.8275           | 3.4310           | 12.8110          | 12.8735          | 17.0750
     0.8 | 2.0634           | 3.4965           | 12.7824          | 12.8451          | 17.0343
     0.9 | 2.3192           | 3.5185           | 12.7104          | 12.7734          | 17.1220
     1.0 | 2.5526           | 3.5691           | 12.7107          | 12.7738          | 17.0915
     1.1 | 2.7877           | 3.6753           | 12.9096          | 12.9718          | 17.1396
     1.2 | 3.0513           | 3.7084           | 12.8184          | 12.8811          | 17.2510
